winner_country,country_home,home_country_weighted_score,country_away,away_country_weighted_score,home rank,away rank
N/A,Czechia,0.6866699898011065,Ukraine,0.7116598991072467,0.6866699898011065,0.7116598991072467
Spain,Kosovo,0.44721265091278717,Spain,1.3700401799186823,0.44721265091278717,1.3700401799186823
N/A,Northern Ireland,0.4493042854734159,Switzerland,1.2896439239949036,0.4493042854734159,1.2896439239949036
Italy,Italy,2.375732438162763,Lithuania,0.2097672187198743,2.375732438162763,0.2097672187198743
Belgium,Belarus,0.2788075421267115,Belgium,2.0193401856391633,0.2788075421267115,2.0193401856391633
Albania,Albania,0.7229454087133043,San Marino,0.2110295279529995,0.7229454087133043,0.2110295279529995
Hungary,Hungary,0.6142392141508874,Andorra,0.16880935297546446,0.6142392141508874,0.16880935297546446
N/A,Poland,0.7207992483347846,England,2.75781509345622,0.7207992483347846,2.75781509345622
Germany,Iceland,0.3417950120788881,Germany,1.148178031139458,0.3417950120788881,1.148178031139458
N/A,North Macedonia,0.3870342294439598,Romania,0.5285083047477355,0.3870342294439598,0.5285083047477355
Spain,Italy,2.1884438072586905,Spain,1.744617441726827,2.1884438072586905,1.744617441726827
France,Belgium,1.8581272376816473,France,1.5273446694261845,1.8581272376816473,1.5273446694261845
N/A,Czechia,0.6763660982806996,Wales,0.4908960509133755,0.6763660982806996,0.4908960509133755
Netherlands,Latvia,0.31607287670455597,Netherlands,1.6266292124997674,0.31607287670455597,1.6266292124997674
N/A,Turkey,0.6504049695455663,Norway,0.4875951442575298,0.6504049695455663,0.4875951442575298
Slovenia,Malta,0.34452728422790047,Slovenia,0.7312869629262271,0.34452728422790047,0.7312869629262271
Croatia,Cyprus,0.3296684222567609,Croatia,0.9012338464779056,0.3296684222567609,0.9012338464779056
Russia,Russia,0.5296429291705758,Slovakia,0.5575071227746893,0.5296429291705758,0.5575071227746893
Germany,Germany,1.3158466647281775,Romania,0.4446739879533757,1.3158466647281775,0.4446739879533757
Serbia,Luxembourg,0.2771341444936972,Serbia,0.9573471648886603,0.2771341444936972,0.9573471648886603
Greece,Georgia,0.24939104927599856,Greece,0.49503293143093885,0.24939104927599856,0.49503293143093885
Switzerland,Switzerland,1.4635387449417356,Northern Ireland,0.3623568749999999,1.4635387449417356,0.3623568749999999
Ukraine,Finland,0.35900232076588895,Ukraine,0.8243611854096822,0.35900232076588895,0.8243611854096822
Scotland,Scotland,0.8388642218309189,Israel,0.3408438162871609,0.8388642218309189,0.3408438162871609
Austria,Faroe Islands,0.27868018566711295,Austria,0.5697232133791175,0.27868018566711295,0.5697232133791175
Denmark,Moldova,0.19932052026375643,Denmark,1.8206139319352643,0.19932052026375643,1.8206139319352643
England,Andorra,0.022478130653880213,England,3.050477538099389,0.022478130653880213,3.050477538099389
Albania,Hungary,0.5473799830076778,Albania,0.8566638709997235,0.5473799830076778,0.8566638709997235
Poland,Poland,0.813982125963563,San Marino,0.1644380891386103,0.813982125963563,0.1644380891386103
Portugal,Portugal,1.3660992358046538,Qatar,0.2954837843151186,1.3660992358046538,0.2954837843151186
Italy,Italy,2.5931009117527246,Belgium,1.6557986854346305,2.5931009117527246,1.6557986854346305
France,Spain,1.5810193361691762,France,1.8545408805414858,1.5810193361691762,1.8545408805414858
Czechia,Belarus,0.2310488601063409,Czechia,0.7718834623214408,0.2310488601063409,0.7718834623214408
Netherlands,Netherlands,1.8240623945679533,Gibraltar,0.24898601714799695,1.8240623945679533,0.24898601714799695
Turkey,Latvia,0.26774898439204986,Turkey,0.7470527541705786,0.26774898439204986,0.7470527541705786
N/A,Croatia,0.8840475102927448,Slovakia,0.57469345895985,0.8840475102927448,0.57469345895985
Russia,Slovenia,0.668240468321387,Russia,0.6557359183802561,0.668240468321387,0.6557359183802561
Germany,North Macedonia,0.30189018473535295,Germany,1.4861347541453913,0.30189018473535295,1.4861347541453913
Romania,Romania,0.5424391102189532,Armenia,0.48409467356960983,0.5424391102189532,0.48409467356960983
Portugal,Portugal,1.530422573834489,Luxembourg,0.19497247547877966,1.530422573834489,0.19497247547877966
Serbia,Serbia,1.0803104746325787,Azerbaijan,0.21080427767856405,1.0803104746325787,0.21080427767856405
Georgia,Kosovo,0.4123824659033479,Georgia,0.3190514192948772,0.4123824659033479,0.3190514192948772
Switzerland,Lithuania,0.1261019205367938,Switzerland,1.6308693413078967,0.1261019205367938,1.6308693413078967
N/A,Ukraine,0.8040116470723171,Bosnia and Herzegovina,0.43771995699974775,0.8040116470723171,0.43771995699974775
Scotland,Faroe Islands,0.22280296529221136,Scotland,0.9506186625807221,0.22280296529221136,0.9506186625807221
Denmark,Denmark,2.059647646466703,Austria,0.4502063561133983,2.059647646466703,0.4502063561133983
N/A,England,2.9253226603448033,Hungary,0.6725348607622633,2.9253226603448033,0.6725348607622633
Poland,Albania,0.7731315711515592,Poland,0.9810467256598917,0.7731315711515592,0.9810467256598917
Czechia,Czechia,0.8990718085535849,Kuwait,0.4364058268839279,0.8990718085535849,0.4364058268839279
Serbia,Serbia,1.2178899005273485,Qatar,0.22669407136773373,1.2178899005273485,0.22669407136773373
N/A,Ukraine,0.7897438135062959,Bulgaria,0.5329228093179147,0.7897438135062959,0.5329228093179147
N/A,Republic of Ireland,0.4829412805295115,Portugal,1.4752919794500166,0.4829412805295115,1.4752919794500166
Georgia,Georgia,0.4491319009866941,Sweden,0.9167131567773833,0.4491319009866941,0.9167131567773833
Spain,Greece,0.3912303180509331,Spain,1.788624562929188,0.3912303180509331,1.788624562929188
Croatia,Malta,0.28309854450186817,Croatia,1.0069049897448095,0.28309854450186817,1.0069049897448095
N/A,Slovakia,0.5793708094279268,Slovenia,0.66356311785331,0.5793708094279268,0.66356311785331
Germany,Germany,1.6674679016904785,Liechtenstein,0.23653014753293677,1.6674679016904785,0.23653014753293677
N/A,Romania,0.5324069053119499,Iceland,0.35182721698589137,0.5324069053119499,0.35182721698589137
N/A,Italy,2.544989333230483,Switzerland,1.678980919830138,2.544989333230483,1.678980919830138
Scotland,Moldova,0.1418235611215325,Scotland,1.0656125808651702,0.1418235611215325,1.0656125808651702
Denmark,Denmark,2.2878927076425946,Faroe Islands,0.10868043470426564,2.2878927076425946,0.10868043470426564
Austria,Austria,0.5293113733534544,Israel,0.3012913076671329,0.5293113733534544,0.3012913076671329
England,England,3.2951680834944397,Albania,0.588208859576741,3.2951680834944397,0.588208859576741
Poland,Andorra,-0.027698112161808387,Poland,1.081399211291269,-0.027698112161808387,1.081399211291269
Hungary,Hungary,0.7562321557523507,San Marino,0.12258944164356661,0.7562321557523507,0.12258944164356661
France,France,2.0865175736076718,Kazakhstan,0.3492377035872819,2.0865175736076718,0.3492377035872819
Belgium,Belgium,1.8572252320791898,Estonia,0.25775350768868127,1.8572252320791898,0.25775350768868127
Turkey,Turkey,0.8466566313024363,Gibraltar,0.19918407858206816,0.8466566313024363,0.19918407858206816
N/A,Montenegro,0.4983541006593778,Netherlands,1.754288273835923,0.4983541006593778,1.754288273835923
Serbia,Portugal,1.3406328854511482,Serbia,1.4872080885250851,1.3406328854511482,1.4872080885250851
Spain,Spain,2.0591583348998452,Sweden,0.7814462707920546,2.0591583348998452,0.7814462707920546
Croatia,Croatia,1.173169080557316,Russia,0.5726038729740028,1.173169080557316,0.5726038729740028
Slovakia,Malta,0.23997507680537838,Slovakia,0.6656177448209064,0.23997507680537838,0.6656177448209064
Slovenia,Slovenia,0.7628862718643172,Cyprus,0.28000684525125735,0.7628862718643172,0.28000684525125735
Romania,Liechtenstein,0.19808329489069243,Romania,0.6093006105964387,0.19808329489069243,0.6093006105964387
Germany,Armenia,0.37651654480660535,Germany,1.8826241592164876,0.37651654480660535,1.8826241592164876
Georgia,Georgia,0.5440450910853636,Uzbekistan,0.45254340495066525,0.5440450910853636,0.45254340495066525
